이름|영어이름|분류|설명|레벨1|레벨2|특수능력|특수능력설명
명사수|Deadeye|기본|여러분의 캐릭터는 원거리 무기에 특별한 재능을 지녔습니다. 이 포커스는 보통 활에 적용되지만, 투척 무기와 같은 다른 원거리 무기에도 적용됩니다. 이 포커스의 효과는 중장보병(Armsmaster) 포커스의 효과와 중첩되지 않습니다.|사격을 보너스 기술로 얻습니다. 보관 중인 원거리 무기를 즉시 행동으로 준비할 수 있으며, 활과 같은 양손 원거리 무기를 근접 거리에서도 -4 페널티를 받고 사용할 수 있습니다. 원거리 무기의 피해 굴림에 사격 기술 레벨을 더할 수 있습니다.|쇠뇌와 같이 장전에 한 라운드 이하를 소요하는 느린 장전 무기를 단순 행동으로 장전할 수 있습니다. 어떤 크기의 원거리 무기라도 근접 거리에서 페널티 없이 사용할 수 있습니다. 장면당 한 번, 사격 기술 판정에서 2가 나왔거나 물리적으로 명중이 불가능하지 않은 한, 움직이지 않고 살아있지 않은 표적을 단순 행동을 사용해 맞출 수 있습니다.||
협상가|Dealmaker|기본|여러분의 캐릭터는 거래자를 찾아 좋은 거래를 하는 데에 천재적인 감각을 가졌습니다. 심지어 거래할 생각 없이 쳐들어온 적을 설득할 정도로요.|거래를 보너스 기술로 얻습니다. 반 시간의 시간을 들여 집단 안에서 거래할 수 있는 상품의 구매자/판매자를 찾아낼 수 있습니다. 얻을 확률이 낮은 상품의 경우, GM이 허용했다는 전제하에 추가적인 모험을 요구할 수 있습니다.|세션당 한 번, 여러분을 바로 죽이려고 하지 않는 지성체를 대상으로 해 무언가를 요청할 수 있습니다. 만약 요구의 수준이 적절하다면, 알맞은 대가를 제공한다는 전제하에 요청을 들어줄 것입니다.||
능력치 개발|Developed Attribute|기본|여러분의 캐릭터는 엄청난 성장을 이루어 능력치를 성장시켰습니다. 이는 고대 혈통의 영향일 수도, 선천적인 천재성 때문일 수도, 또는 단순한 노력의 결과일 수도 있습니다. 이 포커스는 마법사나 부분 마법사 클래스가 선택할 수 없습니다.|능력치 하나를 선택해 수정치를 +1 올려 최대 +3까지 성장시킵니다. 실제 점수는 바뀌지 않습니다. 여러분은 이 포커스를 여러 번 선택할 수 있습니다.|||
외교의 귀재|Diplomatic Grace|기본|여러분의 캐릭터가 가진 협상력은 비현실적일 정도로 뛰어납니다. 어떤 사람들은 초능력이라 생각할 정도로요.|설득을 보너스 기술로 얻습니다. 출신 국가에서 널리 사용되는 언어를 모두 쓸 수 있으며, 새로운 언어를 일주일 만에 구사 가능한 수준, 한 달 안에 유창한 수준까지 배울 수 있습니다. 협상 또는 외교와 관련된 기술 판정에서 주사위 눈이 1로 나오면 해당 주사위를 다시 굴립니다.|하루에 한 번, 암묵적인 흥정을 벌입니다; 대상은 자신의 목숨이나 소중한 대상의 목숨이 걸려있지 않는 한, 정신 내성굴림을 해 실패했을 때 흥정에 동의합니다. 대부분의 NPC는 거절하려 하지도 않을 것입니다. 흥정은 광범위해서는 안 되며, 시간적 제한이 존재해야만 합니다.||
신의|Gifted Chirurgeon|기본|여러분의 캐릭터는 치명상을 입어 죽어가는 동료를 구하고, 상처의 자연 회복을 빠르게 돌려놓는 재능이 있습니다.|치료를 보너스 기술로 얻습니다. 치명상을 입은 아군을 라운드당 한 번, 단순 행동을 사용해 안정화를 시도할 수 있습니다. 치료 기술 판정을 할 때 3d6을 굴리고 가장 낮은 주사위를 뺍니다. 전투에서 응급처치할 때 두 배 많은 HP를 회복합니다.|치료 기술이 마법적인 효과를 띕니다. 주요 행동을 사용해, 인접한 아군의 HP를 1d6+치료 기술 레벨만큼 회복할 수 있습니다. 치명상을 입은 아군은 이를 통해 쇠약 상태 없이 회복할 수 있습니다. 이러한 회복은 대상의 기관 부하를 1만큼 늘리며, 기관 부하가 최대치에 도달하면 이 방식을 통해 회복할 수 없습니다.||
두목|Henchkeeper|기본|귀찮은 일을 대신해줄 부하를 손쉽게 얻어낼 수 있습니다. 충성에 대한 대가로 약속할 수 있는 것은 다양하지만, 이를 실제로 제공할지는 여러분의 선택에 달려 있습니다. 이 포커스를 통해 얻은 부하는 눈에 뻔히 보이는 위험에 뛰어들길 요구받거나 노골적인 배신을 당하지 않은 이상 충성을 바칠 것입니다. 부하는 사회에서 중요한 사람이 아니며, 보통 가난하거나 추방당했거나 절박한 사람입니다. 추가적인 대가나 유인책을 통해 부하를 더 많이 거느리는 것은 물론 가능하지만, 이렇게 얻은 부하들은 캐릭터가 제공할 수 있는 대가 이상의 충성을 보이지는 않습니다.|지휘를 보너스 기술로 얻습니다. 적합한 사람이 있다면, 어떤 공동체에서든 도착한 지 24시간 안에 부하를 얻을 수 있습니다. 이렇게 얻은 부하는 생명이 달린 경우를 제외하고는 전투에 참여하지 않지만, 일행을 따라다니며 위험을 감수할 것입니다. 부하들은 대부분 “비폭력적 인간”으로 취급됩니다. 여러분의 캐릭터는 3레벨마다 부하 한 명을 추가로 데리고 다닐 수 있습니다(소수점 아래 올림). 캐릭터는 부하에게 큰 반감을 사지 않고 잠시 떼어놓은 뒤, 나중에 다시 데리고 다닐 수도 있습니다.|캐릭터의 부하는 몹시 충성스럽고 단호합니다. 가망이 없어 보이는 상황이 아닌 이상 일행과 같이 싸울 것입니다. 부하는 이제부터 “베테랑 병사”로 취급됩니다. 기량이 출중한 NPC를 부하로 삼는 것 또한 가능하지만, 대단한 충성심을 얻을 정도의 도움 또는 구원을 받았을 것을 필요로 합니다.||
무적의 방어|Impervious Defense|기본|초인적인 반응 속도, 놀라운 행운, 기이한 혈통, 마법적 재능. 어떤 이유에선지, 여러분의 캐릭터는 번쩍거리는 갑옷 없이도 좀체 상처 입지 않습니다. 이 포커스의 효과는 갑옷과 중첩되지 않으나, 민첩 수정치와 방패 수정치는 적용됩니다.|15+캐릭터 레벨의 절반만큼의 기본 AC를 가집니다. 소수점 아래를 올립니다.|하루에 한 번, 즉시 행동을 통해 하나의 무기 공격 또는 환경으로 인한 물리적 부상을 무시할 수 있습니다. 이 효과는 일반 갑옷이 저항할 수 없는 피해에도 적용됩니다.||
첩자|Imposter|기본|여러분의 캐릭터는 스스로를 실제와 다른 것으로 위장하는 데에 극히 뛰어납니다. 이는 변장, 변복, 변성을 포함하며 몇몇은 공연 기술에 가까운 연기력에 의존하지만, 몇몇은 은신 기술에 가까운 재주에 가깝습니다.|공연 또는 잠행을 보너스 기술로 얻습니다. 장면당 한 번, 변장을 유지하는 것과 관련된 기술 판정 또는 내성굴림이 실패했을 때 다시 굴릴 수 있습니다. 사회적으로 큰 영향력이 없는 가짜 신분을 하나 만들 수 있습니다; 여러분의 캐릭터는 완벽히 그 신분을 흉내낼 수 있으며, 완벽한 증거만이 캐릭터와 가짜 신분을 관련지을 수 있을 겁니다. 일주일간의 공을 들인다면 새로운 신분을 만들어 바꿀 수 있습니다.|여러분의 캐릭터는 주요 행동을 사용해, 겉모습을 미리 정한 세 가지의 의상 중 하나로 순식간에 바꿀 수 있습니다. 또한, 여러분의 캐릭터는 하루 이상을 머문 도시 또는 커다란 조직마다 가짜 신분을 하나 만들어낼 수 있습니다.||
행운아|Lucky|기본|여러분의 캐릭터는 과거에 놀라운 행운을 최소한 한 번 경험한 적이 있으며, 그 운세는 지금까지 이어져 답이 없어 보이는 상황에서도 약간의 이점을 주곤 합니다. 하지만 타고난 자에게 행운은 과분합니다. 최소한 하나의 능력 수정치가 -1이 아니라면 이 포커스를 선택할 수 없습니다.|일주일에 한 번, 캐릭터에게 치명상을 입히거나, 죽이거나, 끔찍한 결과를 불러왔을 상황에서 기사회생할 수 있습니다. 관련된 주사위 굴림을 다시 굴려, 더 나은 결과를 택합니다.|세션당 한 번, 위험이 코앞에 닥쳐온 상황에서 운을 믿고 1d6를 굴립니다. 2 이상의 결과가 나왔을 때, 무언가 좋은 일이 일어나게 됩니다. 위험에서 도망칠 길이나, 목표를 달성하기 위한 이점 등이 나타납니다. 1이 나왔을 때, 상황은 급격히 나빠집니다.||
무화자|Nullifier|기본|여러분의 캐릭터를 대상으로 마법을 사용하는 것은 어렵습니다. 강력한 축복을 받아 태어난 것의 영향일 수도, 단순히 마법과 맞지 않는 체질일 수도 있습니다. 마법사와 부분 마법사는 이 포커스를 선택할 수 없습니다.|여러분의 캐릭터와 20ft 안에 있는 아군은 마법적 효과에 대항하는 내성굴림에 +2의 보너스를 받습니다. 단순 행동을 사용해, 20ft 안에서 마법의 존재를 감지할 수 있지만, 세부적인 사항은 알아낼 수 없을 겁니다. 여러분의 캐릭터가 마법에 대항해 굴린 내성이 첫 번째로 실패했을 때, 다음 날 그 내성굴림을 성공한 것으로 합니다.|하루에 한 번, 즉시 행동을 사용해 원하지 않는 마법적 효과에 영향을 받지 않을 수 있습니다. 이 효과는 한 장면 동안 지속됩니다.||
독살자|Poisoner|기본|여러분의 캐릭터는 쉬이 구할 수 있는 재료로 독을 제조하는 데에 숙련되었습니다. 독을 제조하는 데에는 한 시간이 걸리며, 원하는 만큼 제조해 보유할 수 있습니다. 칼날에 바르는 독은 주요 행동을 통해 도포할 수 있으며, 피해를 주기 전까지 10분간 지속됩니다. 독이 들어간 음식은 난이도 10의 지혜/감지 기술 판정을 통해 알아챌 수 있으며, 독에 대해 경계를 하지 않았거나 먹는 사람이 귀족이 아니라면 난이도는 12로 올라갑니다. 한 번 사용할 양의 독으로 5~6명의 사람을 중독시킬 수 있습니다.|치료를 보너스 기술로 얻습니다. 독에 대항하는 내성굴림이 실패했을 때 다시 굴립니다. 여러분의 캐릭터가 만든 독은 2d6+캐릭터 레벨만큼의 피해를 주며, 공격 피해 또는 충격 피해에 더해집니다. 저살상 독 또한 같은 피해를 주나, 0 HP에 도달했을 때 죽는 대신 기절하게 됩니다.|여러분의 캐릭터는 독에 면역이 되며, 중독된 아군에게 주요 행동을 사용해 해독제를 투여할 수 있습니다. 캐릭터의 독을 감지하거나, 그에 대항하려는 기술 판정과 내성굴림은 캐릭터의 치료 기술 레벨만큼의 페널티를 받게 됩니다. 캐릭터의 독을 짐작하지 못하고 섭취하는 것은 처형 공격과 같이 취급되며, 육체 내성굴림에는 치료 기술 레벨만큼의 페널티가 적용되며 내성에 성공했을 때 레벨당 1d6의 피해를 줍니다.||
박식가|Polymath|기본|여러분의 캐릭터는 넓은 분야의 기술에 대한 범용적인 지식을 가지고 있으며, 어떤 과제를 맞이해도 나쁘지 않은 수준의 역량을 보입니다. 이 포커스로 얻은 기술 레벨은 일반적인 기술 레벨과 중첩되지 않습니다. 전문가, 또는 부분 전문가만이 이 포커스를 선택할 수 있습니다.|아무 기술 하나를 보너스로 얻습니다. 기술 판정에 한해, 모든 비전투 기술을 0레벨인 것으로 간주할 수 있습니다.|기술 판정에 한해, 모든 비전투 기술을 1레벨인 것으로 간주할 수 있습니다.||
기수|Rider|기본|기승 기술을 가진 모든 캐릭터는 탑승물 위에서 싸울 수 있고, 탈것을 잘 관리할 수 있습니다. 그러나 여러분의 캐릭터는 탈것과 영적인 유대를 가졌을 정도로 긴밀하며, 초자연적으로 보일 정도의 역량을 끌어낼 수 있습니다.|기승을 보너스 기술로 얻습니다. 캐릭터의 탈것은 전투에서 12의 사기를 가진 것으로 간주하며, 캐릭터의 AC가 탈것보다 높을 때 캐릭터의 AC를 사용하게 되고, 여행 중 두 배의 속도로 이동할 수 있습니다. 여러분의 캐릭터는 직감적으로 탈것과 소통해, 그들이 받아들인 정보를 공유할 수 있습니다.|장면당 한 번, 탈것을 향한 성공적인 공격 한 번을 빗나가게 만들 수 있습니다. 장면당 한 번, 실패한 기승 기술 판정을 다시 굴릴 수 있습니다. 여러분의 캐릭터는 200ft 안의 탈것과 정신적으로 감응해 단순한 경고, 생각, 명령을 공유할 수 있습니다. 이러한 정신 감응은 한 번에 한 마리와만 가능하며 한 시간을 소비합니다.||
충격 돌격대|Shocking Assault|기본|여러분의 캐릭터는 인접한 적에게 극도로 위험합니다. 근접 공격이 명중하지 않아도 압박과 혼란을 줍니다.|격투 또는 접전을 보너스 기술로 얻습니다. 충분한 위력의 무기를 들고 있고, 적이 충격 피해에 면역이 아니라는 전제 하에 캐릭터가 가하는 모든 근접 공격의 충격 피해는 AC10의 적에게 가하는 것과 같이 가해집니다.|충격 피해를 가할 수 있는 근접 무기와 비무장 공격의 충격 피해에 +2의 보너스를 받습니다.||
저격수의 눈|Sniper’s Eye|기본|여러분의 캐릭터는 무방비한 표적에 원거리 공격을 가하는 데에 숙련되었습니다. 아래의 이점은 활, 발사기, 또는 투척 무기를 사용한 처형 공격을 가할 때에만 적용됩니다.|사격을 보너스 기술로 얻습니다. 원거리 처형 공격을 가하거나 움직이지 않고 생물이 아닌 표적에 사격을 가할 때 3d6를 굴리고 가장 낮은 주사위를 버립니다.|여러분의 캐릭터가 가하는 원거리 처형 공격은 빗나가지 않습니다. 처형 공격의 대상은 육체 내성굴림에 -4의 페널티를 받으며, 내성굴림이 성공했을 때에도 두 배의 피해를 받습니다.||
특별한 기원|Special Origin|기본|수없이 많은 세상의 플레이어 캐릭터는 대부분 인간일 것을 전제하고 있습니다. 조금 더 특이한 종, 또는 아인 플레이어 캐릭터를 만들고 싶다면 이 포커스를 골라, 적절한 기원 포커스를 고르십시오. 만약 특별한 이점 없이, 그저 “다른 종족”이라는 설정만을 가지고 싶다면 이 포커스를 선택할 필요가 없습니다.||||
특성화 인재|Specialist|기본|여러분의 캐릭터는 특정 기술에 놀라울 정도로 뛰어납니다. 유명 체육인, 천재 학자와 같은 인물들이 이에 해당합니다. 이 포커스는 여러 번 선택할 수 있습니다.|마법, 접전, 사격, 격투를 제외한 아무 기술이나 보너스로 얻습니다. 선택한 기술을 사용하는 판정에서 3d6를 굴리고 가장 낮은 주사위를 버립니다.|4d6를 굴리고 가장 낮은 주사위를 버립니다.||
영체 권속|Spirit Familiar|기본|하급 영체, 악마, 구조물, 마법 동물과 같은 개체를 헌신적인 부하로 들일 수 있습니다. 능력은 제한되어 있지만, 이들은 여러분의 캐릭터에게 항상 충성을 바칩니다.|까마귀보다 크고, 사람보다 작은 권속을 선택합니다. 이들은 마법적 권속 산출 주문으로 생성된 개체와 같은 능력과 능력치를 지니지만 중요 행동으로 소환하고 해산시킬 수 있으며 이때 주인의 근접 거리에서 소환됩니다. 이들은 음식, 물, 또는 휴식을 필요로 하지 않습니다. 만약 죽었다면 24시간이 지나기 전까지 재소환할 수 없습니다. 하루에 한 번, 권속은 당신이 투자한 분발을 하나 회복할 수 있습니다.|다음의 목록에서 두 개의 이점을 고르십시오. 이 레벨은 여러 번 택할 수 있습니다. •캐릭터 레벨당 3점의 HP를 가집니다. •캐릭터 레벨의 절반의 공격 보너스를 가지며 충격 피해 없는 1d8 피해를 가할 수 있습니다. 소수점 아래는 올립니다. •배경 하나를 골라, 그 배경과 연관되는 상황에서 +1의 기술 판정 보너스를 받습니다. •단순 행동을 사용해 여러 다른 외관을 취할 수 있습니다. •이동 거리만큼 비행할 수 있습니다. •여러분의 캐릭터가 알고 있는 언어를 사용해 대화할 수 있습니다.||
덫사냥꾼|Trapmaster|기본|여러분의 캐릭터는 함정과 덫을 다루는 데에 몹시 숙련되어, 마법적인 함정을 해체할 수 있으며 눈 깜짝할 새에 함정을 급조해낼 수도 있습니다.|감지를 보너스 기술로 얻습니다. 장면당 한 번, 함정과 경보 장치와 관련된 기술 판정 또는 내성굴림을 다시 굴릴 수 있습니다. 5분의 시간을 소비해 통로, 용기, 골목과 같은 장소에 경보기, 마름쇠, 독성 바늘과 같은 함정을 설치할 수 있습니다. 저살상 함정은 첫 번째로 걸리는 대상이 한 라운드 동안 행동을 취할 수 없게 만들고, 치명적인 함정은 1d6+캐릭터 레벨의 두 배 만큼의 피해를 입힙니다. 이 피해는 알맞은 내성굴림을 통해 절반으로 줄일 수 있습니다. 이러한 급조 함정은 한 번에 한 개씩만 유지할 수 있습니다. 더 치명적인 함정은 적절한 상황과 GM의 허가를 필요로 합니다.|여러분의 캐릭터는 마법사가 아니면 해체할 수 없을 함정도 망가뜨릴 수 있습니다. 장면당 한 번, 분발을 투자해 함정을 대상으로 마법 제거 주문을 시전할 수 있으며, 이때 두 배의 캐릭터 레벨을 가진 마법사가 시전한 것으로 간주합니다. 이 방식으로 함정을 해체하기 위해선 지능/감지 또는 민첩/감지 기술 판정이 선행되어야 합니다. 이 능력은 마법 제거 주문으로 해체할 수 있을 정적인 마법 효과를 대상으로도 사용이 가능합니다.||
공수가|Unarmed Combatant|기본|여러분 캐릭터의 맨손은 얼치기의 칼보다 위험한 흉기입니다. 무기를 들지 않았더라도 활 또는 여러 원거리 무기를 방해하는 용도에 한해 근접 무기를 든 것으로 취급받습니다. 단 이를 위해서는 한 손이 비어있어야 합니다.|격투를 보너스 기술로 얻습니다. 격투 기술 레벨이 오를수록 비무장 공격 또한 강해집니다. 0레벨에서는 1d6, 1레벨에서는 1d8, 2레벨에서는 1d10, 3레벨에서는 1d12, 4레벨에서는 1d12+1의 피해를 입힙니다. 1레벨 이상의 격투 기술을 가졌을 때, 비무장 공격은 AC15 이하의 적에게 격투 레벨만큼의 충격 피해를 입힙니다. 일반적으로는 격투 레벨을 모든 비무장 피해에 더하지만, 충격 피해에는 두 번 더하지 않습니다.|격투 공격이 빗나갈 때도 수정치를 적용하지 않는 1d6의 피해를 가합니다. 이때 충격 피해 또한 추가될 수 있습니다.||
특별한 재능|Unique Gift|기본|여러분의 캐릭터는 여기에 존재하는 포커스로 설명할 수 없는 특별한 재능을 지녔습니다. 정확한 능력은 플레이어와 GM의 협의해 정합니다. 일리가 있어 보인다면 가능합니다. 만약 능력이 지나치게 강하거나 약하다면, 플레이어와 GM은 세션 중간에 재조정을 건의할 수 있습니다.||||
수호자|Valiant Defender|기본|여러분의 캐릭터는 전투에서 다른 이들을 지키는 데에 특화되었습니다.|접전 또는 격투를 보너스 기술로 얻습니다. 아군 보호를 할 때 기술 판정에 +2의 보너스를 받습니다. 여러분의 캐릭터는 라운드당 한 번의 공격을 추가로 방어할 수 있습니다. 라운드당 한 번, 주문 또는 마법적 공격으로부터 아군 보호를 시도할 수 있습니다. 이때는 상대의 마법 기술과 경쟁 판정을 해 결과를 결정합니다.|캐릭터가 시도하는 라운드의 첫 번째 아군 보호는 무조건 성공합니다. 아군을 보호할 때 AC에 +2의 보너스를 받습니다. 황소 크기의 적을 상대로도 아군을 보호할 수 있습니다.||
좋은 인상|Well Met|기본|여러분의 캐릭터는 바로 만난 생물과도 친분을 쌓을 수 있는 매력을 가졌습니다. 하지만 이후의 평판은 캐릭터의 행동에 따라 달라질 것입니다. 이 포커스는 생물당 한 번만 적용됩니다.|반응 굴림에 +1의 보너스를 받습니다. 기습이 아닌 한, 적대적인 이들이라도 여러분의 캐릭터에게 한 마디 정도는 할 기회를 줄 것입니다.|세션당 한 번, 반응 굴림을 했을 때 대상이 여러분 캐릭터의 일행에게 호의적인 태도를 보이도록 만들 수 있으나 그 이유는 GM이 정합니다. 오해 때문일 수도, 우스워 보여서일 수도 있습니다.||
난전 돌격대|Whirlwind Assault|기본|여러분의 캐릭터는 근접 전투에서 피로 이루어진 폭풍과도 같으며, 여러 명의 약한 적을 단숨에 무너뜨릴 수 있습니다.|접전을 보너스 기술로 얻습니다. 장면당 한 번, 단순 행동을 사용해 근접 거리 안의 모든 적에게 충격 피해를 가할 수 있습니다.|라운드당 한 번, 캐릭터의 공격으로 누군가 죽었을 때 거리 안의 다른 대상에게 즉시 두 번째 공격을 가할 수 있습니다.||
외세계 영향|Xenoblooded|기본|여러분의 캐릭터는 외세계의 침입자에게 축복, 또는 저주받았습니다. 이는 캐릭터의 혈통이 개조되었다는 의미일 수도, 캐릭터가 외계인의 피를 품고 있다는 의미일 수도 있습니다. 이 핏줄은 외세계인의 육체적 특징을 타고나기도 하며, 캐릭터를 돌연변이 또는 아인으로 보이게 만들기도 합니다.|다음의 목록 중 하나를 선택하십시오. •열기 피해에 면역이며 연기가 시야를 가리지 않고, 호흡을 방해하지 않습니다. •물 속에서 숨을 쉬고, 광원 유무에 구애받지 않는 120도의 시야를 가집니다. 물 속에서 두 배의 속도로 이동합니다. •저중력, 또는 고중력 환경에서 살도록 설계되었습니다; 근력 또는 민첩 수정치에 +1의 보너스를 받고, 다른 한 쪽 수정치에 -1의 페널티를 받습니다. •방사선을 흡수할 수 있습니다. 음식, 수면, 호흡을 필요로 하지 않습니다. 광원 없이도 볼 수 있습니다.|||
일반 연금술|Mundane Alchemy|기타|당신은 연금술이라는 고된 예술에 대한 훈련을 받았고, 그 복잡미묘함에 익숙합니다. |연금술-0을 보너스 기술로 얻습니다. 당신은 흔하고 어렵지 않은 작업물들에 대한 제조법을 다 갖고 있지만, 고급의 작업물을 갖고 있더라도 아직까지는 만들 수 없습니다. 당신이 설비로부터 완전히 차단당하지 않은 이상 실험기구들을 어떻게든 찾아 뒤지거나 임시방편으로 만들어서 하급 작업물들을 만들 수 있습니다. |당신은 흔한 고급 작업물들에 대한 제조법들을 다 갖고 있으며, 일반적인 난이도에 따라 그들을 제조할 수 있습니다. 일반적인 재료들을 구 할 수 있는 상황에서 일주일동안 실험을 한다면 당신의 개인적인 작업에 쓸 수 있는 레벨당 25은화의 연금술 요소들을 만들 수 있습니다.||
전통적 교육|Traditional Education|기타|소언사인 당신은 고마법, 원소마법, 사령마법 등 특화된 신비술 전통에 대한 많은 지식을 교육 받았습니다. 소언사만 이 포커스를 선택할 수 있고, 이 포커스는 한 번 선택될 수 있습니다.|당신은 고마법과 같이 선택한 전통의 주문을 배우고 준비할 수 있습니다. 당신은 해당 전통의 기교를 1 레벨 수련자처럼 각각 부분 클래스인지 아닌지에 따라 배울 수 있으며, 당신의 최대 분발 점수는 당신의 마법 기술 레벨과 같으며, 최소 1점을 갖습니다. 당신은 이 전통에서 더 기교를 얻을 수 없습니다.|||
